From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
10,12021,6157,7648,8331,3894,7973,6305,5871,5023,4549,0,7928,7555,10634,9984,7644,7246,9020,4246,5645,8699,4247,14010,14735,14206,11766,14141,9024,13912,7213,6902,5744,7065,6488,10567,19392,7226,7994,13321,8647,8991,6991,8421,10626,10409,9776,8711,9499,17615,11202,6282,3057,4729,8949,7164,10695,10726,10574,8427,5340,7095,9057,11716,8822,1585,9442,9269,8380,7398,6842,9159,17020,10385,13247,15569,4132,10353,7512,3836,11128,7296,7512,7104,5464,5413,5353,4376,3966,4295,3574,2724,3979,4175,5054,5383,1049,948,3529,3528,3358,5529,5209,8265,6187,6634,6716,7037,6817,5696,9515,9048,11563,11715,14168,14168,15049,22290,17682,16179,15094,15633,15679,16744,15536,13996,11238,4345,4404,6819,3162,2619,2972,2082,1898,1963,1718,1519,4695,4959,4907
11,19538,11698,11720,12403,10437,12046,10377,10164,4580,4638,8710,0,1679,5323,7466,1401,14762,15837,9029,4252,16216,9030,18521,7815,18718,13158,7226,11040,6996,15182,12798,13254,15034,13725,16351,26908,13011,13201,17977,13693,13344,12775,12773,4568,3494,3718,10727,8951,13873,12595,11822,10468,12308,16465,13305,18212,15238,18090,12500,5042,2470,1129,5525,8484,8549,13514,9181,12732,13182,14078,14943,14468,3470,11379,8649,11648,17870,15029,9686,6712,14812,15029,14621,12980,12930,12869,10271,9861,8068,9359,9960,9763,8529,9817,10146,7786,7956,6831,6830,6276,4137,4349,3796,2974,4304,4386,5748,6053,6936,9678,9211,12892,13045,12094,12095,12976,18255,13647,12144,10852,11390,11437,11728,10753,9753,6996,11518,11920,14335,10363,9855,10208,9819,9304,8274,8029,10238,11006,10854,10802
12,18576,10332,10355,11038,9072,10681,9012,8799,3215,3273,7749,578,0,4237,6379,294,13801,14472,7664,3291,15254,7664,18426,8334,18622,13063,7745,9954,7516,14220,11836,12292,14072,12764,15390,25947,12049,12239,17016,12732,12382,11813,11812,4229,4014,3380,9641,7865,12787,12499,10457,9103,10943,14183,11940,17250,15142,17129,11135,3677,1105,1708,5896,7398,7184,12149,8094,11771,12221,13116,13982,13382,3990,10292,9169,10687,16908,14067,8321,5626,13076,14067,13659,12019,11968,11908,9310,8899,7107,8397,8998,8802,7567,8856,9184,6824,6995,5466,5465,5314,3175,3388,3114,2266,3516,3598,5065,5371,5863,8606,8138,11819,11972,11412,11413,12294,17573,12964,11462,10170,10708,10754,11046,10071,9071,6313,10153,10959,13374,9402,8894,9247,8858,8343,7312,7068,9277,10045,9893,9841
13,20962,10780,9802,10485,11025,10128,8459,8246,6294,5598,9758,4525,4152,0,3064,4241,14094,17364,9168,7128,15501,9169,14979,4272,15176,9616,7517,6638,7288,16868,15674,15399,16720,16601,19520,29566,16180,16370,21146,16862,16513,15944,15942,1164,2803,1482,6325,4549,9471,9052,10905,11428,13268,14631,12388,21378,11696,20663,10582,6002,4942,4172,1659,4082,9509,11596,4779,15901,16352,16954,18112,10066,2857,6977,5107,13787,21036,13448,10079,1388,13396,13448,15242,15119,15068,15008,13147,12737,11237,12528,12836,12932,11698,12986,13315,9342,9332,7791,7790,8770,7013,7225,6952,6212,7353,7435,8903,9208,9701,12443,11976,15657,15810,15250,15250,16131,21410,16802,15299,14008,14546,14592,14883,12166,12909,10151,12478,13522,14148,13240,12731,13084,12696,12180,11150,10906,10766,13882,13730,13678
14,17786,7860,6881,7564,8105,7207,5538,5325,8415,7719,9264,6646,6273,3063,0,6362,11173,11999,6248,9250,12580,6248,11804,5059,12001,6459,8615,3717,8386,14623,15526,13154,14475,15048,19802,26391,16462,17229,22556,17882,18634,16226,18064,3590,3901,3604,3404,2280,7202,5896,7984,9184,10109,11710,9467,18202,8521,17487,7661,8124,7064,6294,1876,1161,7871,8675,2509,18022,16633,15401,18394,7796,3955,4707,5893,11543,17860,10527,7158,1287,10475,10527,12321,11863,11914,12763,13708,13298,13358,12810,11138,13214,13819,14289,14618,10285,10184,7520,7520,10891,9134,9346,9073,8334,9475,9557,11024,11330,11822,14565,14097,17778,17931,17371,17372,18253,25172,18923,17421,16129,17089,17135,17005,13264,15030,12272,9319,10267,11228,12005,11524,11878,11682,11066,11198,10954,9396,12922,14291,14239
15,18540,10296,10319,11002,9035,10644,8976,8763,3179,3236,7713,651,278,3922,6064,0,13765,14436,7628,3255,15218,7628,18110,8019,18307,12748,7430,9639,7201,14184,11800,12256,14036,12727,15354,25910,12013,12203,16980,12696,12346,11777,11776,3914,3699,3065,9326,7550,12472,12184,10421,9066,10907,14147,11904,17214,14827,17093,11098,3641,1069,1780,5581,7083,7148,12113,7779,11734,12185,13080,13945,13067,3674,9977,8854,10651,16872,14031,8285,5311,13040,14031,13623,11983,11932,11872,9274,8863,7071,8361,8962,8766,7531,8819,9148,6788,6959,5430,5429,5278,3139,3351,3078,2338,3480,3562,5029,5335,5827,8570,8102,11783,11936,11376,11376,12258,17537,12928,11426,10134,10672,10718,11010,10035,9035,6277,10117,10922,13337,9366,8858,9211,8822,8307,7276,7032,9240,10009,9857,9805
16,6262,5092,6692,5961,6952,6936,8646,7310,13088,12330,9336,15994,15620,17890,15595,15710,0,1774,7447,13710,1550,7448,13104,17996,8351,12012,22835,12232,22606,8829,10156,7360,8681,9515,15282,13632,13440,14258,18854,15890,17324,13035,13756,19039,19035,18431,12812,12120,19367,11448,4967,7038,4239,1703,4120,4935,9821,4814,5661,13405,15161,17123,16692,11444,9772,6092,11891,16446,12212,9868,13873,18772,19089,14999,18830,5806,4593,2623,6700,16104,2676,2623,3558,4890,4941,5001,9876,9466,12361,11034,7306,10876,12240,12768,13096,9735,9906,10209,10208,11424,13595,13275,16331,14253,14700,14782,15102,14883,13762,17581,17113,19102,19255,22233,22234,23115,30356,25747,24245,23160,23698,23745,24810,23602,22061,19304,5882,5705,2453,7647,7692,8046,7850,8396,8823,9744,8768,7893,8996,9048
17,5615,4473,6540,5343,6718,6000,7710,8084,11593,10850,9720,14498,14125,16143,13847,14214,3367,0,6829,12423,2275,6829,11357,16249,6604,10265,21088,10485,20858,9840,11166,8371,9692,10526,16292,14219,14450,15269,19865,16901,18334,14046,14767,17292,17287,16684,11064,14020,17620,9701,4348,7340,5250,204,3501,4720,8074,4599,5043,11910,13370,15628,14945,10825,7834,4345,11272,17456,13223,10879,14884,17025,17342,13252,17083,6817,4378,3634,6081,14356,3686,3634,4569,5900,5951,6012,10887,10477,13372,12045,8317,11887,13251,13778,14107,10746,10916,8729,8728,12434,12495,12707,15626,13548,14350,14432,16113,15894,14773,18592,18124,20113,20266,23244,23244,24126,31366,26758,25255,23236,23774,23820,24112,25736,22137,19379,5383,6578,3463,8658,8703,9056,8861,9406,9833,10754,9152,8903,10007,10059
18,14049,2690,3895,4577,3383,4220,2551,2118,5263,4520,3494,8168,7795,9150,6230,7884,6004,6830,0,6093,7410,22,10256,10981,10453,8013,14381,5271,14152,8854,9756,7384,8706,9278,14033,18632,10692,11459,16786,12113,12457,10456,11886,9678,9988,9691,4958,5745,13861,7449,2815,3414,5254,6541,4298,9935,6973,9814,4674,5580,7040,9297,7963,5069,2101,5688,5516,11845,10864,9631,12624,13267,10042,9493,11816,5773,9593,5358,1042,7374,5305,5358,7152,7105,7054,6994,7938,7528,7760,7040,5368,7444,7640,8520,8848,4515,4414,2399,2398,5992,6165,6377,9296,7218,8020,8102,9392,9502,9457,12200,11732,15413,15566,16852,16853,17734,24974,20366,18864,16906,17444,17490,17782,16807,15807,13049,4464,5508,6058,6235,5754,6108,5912,5296,5428,5184,3626,7152,8522,8470
19,16000,8970,8993,9675,7709,9318,7649,7437,1132,3025,5173,3469,2924,7240,9382,3177,11225,12999,6301,0,12678,6302,15354,11336,15551,12963,10747,10221,10518,11645,9260,9716,11497,10188,12814,23371,9473,9664,14440,10156,9806,9238,9236,7232,7015,6382,9908,10868,15790,12400,9095,7740,9054,12928,10578,14674,12071,14553,9772,1449,1780,4598,8898,10400,6729,10786,10466,9195,9645,10541,11406,16384,6991,13295,12170,8111,14332,11492,6959,8628,11275,11492,11084,9443,9392,9332,6734,6324,4531,5821,6423,6226,4991,6280,6608,4249,4419,4103,4102,2738,264,477,3396,1318,2119,2201,3492,3602,3557,6300,5832,9513,9666,10952,10952,11834,19074,14466,12963,11103,11641,11688,13529,11004,10004,7246,9045,8383,10798,6826,6318,6671,6282,5767,4736,4492,6701,7469,7317,7265
20,5007,5056,6656,5926,6384,6900,8610,7274,12520,11761,8767,15425,15052,18167,12569,15141,1788,2051,7412,13142,0,7412,13381,18273,8954,12289,23112,12509,22883,8261,9587,6792,8113,8946,14713,12378,12871,13690,18286,15322,16755,12466,13188,19316,19311,18708,13088,12085,19644,11725,4931,6470,3671,1980,4134,3681,10098,3560,5626,12837,14592,16554,14302,11408,9203,6369,11855,15877,11644,9300,13305,19049,19366,15276,19107,5238,3339,2055,6664,13714,2107,2055,2172,3503,3554,3614,9308,8897,11792,10466,6738,10308,11672,12199,12528,9167,9337,9640,9640,10855,13026,12707,15762,13685,14131,14213,14534,14314,13194,17012,16545,18534,18687,21665,21665,22546,29787,25179,23676,22592,23130,23176,24241,23034,21493,18735,5313,5136,1884,7078,7124,7477,7281,7827,8254,9175,8200,7324,8428,8480
21,14049,2691,3895,4578,2574,4220,2552,2118,5263,4520,3495,8168,7795,9150,6230,7884,6004,6830,22,6093,7411,0,10257,10982,10453,8013,14381,5271,14152,8854,9756,7385,8706,9279,14033,18632,10692,11459,16786,12113,12457,10456,11887,9678,9989,9691,4958,5746,13862,7450,2816,3414,5255,6542,4298,9936,6974,9814,4674,5580,7041,9298,7963,5069,2101,5689,5516,11846,10864,9632,12625,13267,10043,9494,11816,5773,9593,5358,1042,7375,5306,5358,7152,7105,7054,6994,7939,7528,7761,7040,5369,7445,7640,8520,8848,4515,4414,2399,2399,5992,6165,6378,9296,7219,8020,8102,9393,9502,9458,12200,11732,15414,15566,16852,16853,17734,24975,20367,18864,16906,17444,17491,17782,16807,15807,13050,4465,5508,6059,6235,5755,6108,5912,5296,5428,5184,3627,7153,8522,8470
22,14947,11859,8047,8729,12104,8050,7930,9199,14444,13701,13263,17409,17036,13826,11530,17125,12816,11349,10247,15275,13597,10247,0,13931,4138,4840,18770,8143,18541,18622,19524,17153,18474,19047,23802,23551,20461,21228,26555,21881,22226,20225,21655,14975,14970,14366,8722,11702,9753,4708,11983,13183,14108,12447,11279,15363,3283,14648,8826,14762,17826,17057,12627,10666,11870,8755,11932,21614,20632,19400,22393,9158,15024,7895,14765,15542,15021,12170,11157,12039,12117,12170,14987,15641,15692,15752,17707,17297,17529,16809,15137,17213,17409,18288,18617,14284,14182,11660,11659,15174,15347,15559,19836,16400,17202,17284,18574,18684,18639,21382,20914,24595,24748,26034,26034,26916,35326,31699,30197,26283,27244,27290,29281,23419,24945,23035,12942,14266,13452,16004,15523,15877,15681,15065,15197,14952,13395,16921,18290,18238
23,19864,14168,13190,13872,14413,12979,11846,11634,10410,9714,15573,8295,8267,4271,5369,8410,17482,16266,12556,11244,18514,12557,13882,0,14078,8518,4305,8691,4076,20932,21834,19463,20784,21357,23636,28468,20295,20485,25262,20978,20628,20059,20058,4333,4328,5215,8378,6856,6624,7955,14293,15492,16417,17364,16196,20280,10598,19565,13969,10118,9058,6891,3499,6387,14179,13672,7085,20017,20467,21710,22228,7219,4382,4973,834,17851,19938,16836,13466,4893,16783,16836,18629,18171,18222,19072,17263,16852,15353,16643,17447,17048,15813,17102,17430,13458,13447,13829,13828,12885,11128,11341,10805,9982,11469,11551,12756,13062,13816,16559,16091,19772,19925,18436,18436,18706,24654,21027,19525,15611,16572,16618,18609,12747,14273,13664,15627,16576,17536,18313,17833,18186,17990,17374,15265,15021,15705,19231,17846,17794
24,8850,8708,7387,7632,10952,6847,8127,9396,14641,13898,13460,17606,17232,14022,11727,17322,8594,6012,10443,15471,8260,10444,4316,14128,0,6347,18967,8339,18738,15066,16393,13598,14918,15752,21519,17454,20657,21424,25091,22078,22422,20422,19993,15171,15167,14563,8919,11899,13394,6215,8583,11575,10559,7132,7716,9266,3480,8551,7728,14958,18023,17253,12824,10863,12066,5192,12128,21811,18774,16105,20110,12799,15221,9402,14962,11626,8924,7948,10316,12236,7931,7948,12575,11419,11470,11530,15450,15040,17726,17005,12880,17410,17606,18485,18814,14480,14379,11856,11856,15371,15543,15756,20032,16597,17398,17480,18771,18880,18836,21578,21111,24792,24945,26231,26231,27112,35523,31896,30394,26480,27440,27487,29478,23616,25142,23232,9618,10813,9230,13538,13266,13620,13424,13944,15394,15149,13592,14130,16033,15981
25,13876,9593,6987,7670,9838,6991,6871,7059,12038,13135,10998,12061,11688,8478,6182,11777,12628,10278,7981,12869,12526,7981,5488,8584,6342,0,13423,2820,13194,16356,17259,14888,16208,16781,21536,22480,18195,18962,24289,19616,19960,17959,19389,9627,9622,9019,3400,6355,7351,579,9718,10917,11842,11376,10208,14292,4611,13577,7767,12356,12479,11709,7280,5344,9604,7684,5180,19348,18367,17134,20127,6756,9677,3358,7497,13276,13950,11981,8891,6691,11929,11981,14799,13596,13647,14497,15442,15031,15264,14543,12872,14948,15143,16023,16351,12018,11917,9254,9253,12768,12941,13153,14488,13749,14890,14972,16440,16745,16233,18976,18508,22189,22342,22786,22787,23668,29979,26352,24849,20936,21896,21942,23934,18071,19598,17688,11052,12000,13263,13738,13258,13611,13415,12799,12931,12687,11129,14655,16025,15973
26,24140,18444,17466,18148,14919,17254,16122,15910,9816,9120,13280,7702,7674,7896,9712,7816,19042,20542,13511,10650,20889,13512,18157,4294,18354,12794,0,12967,229,20390,19196,18921,20242,20123,23043,32744,19702,19892,24668,20384,20035,19466,19464,7341,5812,6443,12654,11132,13800,12231,18569,14950,16790,21640,20472,24556,14874,23841,18245,9524,8464,6298,7843,10731,13031,17948,11361,19423,19874,20476,21634,14394,5787,11305,5128,17309,24214,18940,14169,9237,18923,18940,19659,18641,18590,18530,16670,16259,14759,16050,16358,16454,15220,16508,16837,12864,12854,11313,11312,12292,10535,10747,10211,9389,10876,10958,12163,12468,13223,15966,15498,19179,19332,15841,15841,16111,22067,18440,16937,13016,13984,14030,16022,10151,11678,11051,16000,17044,19008,16762,16253,16607,16218,15703,14672,14428,14288,17404,17252,17200
27,14069,7690,6712,7394,7935,7037,5368,5156,10136,9393,9095,11386,11013,7803,4602,11102,11004,10471,6078,10966,12719,6078,8087,7909,8283,2742,12748,0,12518,14454,15356,12985,14306,14878,19633,22673,16292,17059,22386,17713,18057,16056,17486,8952,8947,8344,1497,3506,9280,2178,7815,9014,9939,11569,9298,14485,4803,13770,7491,10453,11804,11034,6605,3441,7701,7877,3277,17445,16464,15232,18224,8685,9002,4912,8743,11373,14143,10357,6988,6016,10305,10357,12151,11693,11744,12594,13539,13128,13361,12640,10969,13045,13240,14120,14448,10115,10014,7351,7350,10865,11038,11250,13813,12091,12893,12975,14265,14375,14330,17073,16605,20286,20439,21725,21726,22607,29304,25677,24174,20261,21221,21268,23259,17396,18922,17012,9149,10098,11058,11835,11355,11708,11512,10896,11028,10784,9226,12752,14122,14070
28,23911,18215,17236,17919,14690,17025,15893,15681,9587,8891,13051,7472,7444,7667,9483,7587,18813,20313,13282,10422,20660,13283,17928,4065,18125,12565,229,12738,0,20161,18967,18692,20013,19894,22814,32515,19473,19663,24439,20155,19806,19237,19235,7112,5582,6214,12425,10903,13570,12002,18340,14721,16561,21411,20243,24327,14645,23612,18016,9295,8235,6069,7614,10502,12802,17719,11132,19194,19644,20247,21405,14165,5558,11076,4900,17080,23985,18711,13940,9008,18694,18711,19430,18412,18361,18301,16440,16030,14530,15821,16129,16225,14991,16279,16608,12635,12625,11084,11083,12063,10306,10518,9982,9160,10646,10728,11934,12239,12994,15736,15269,18950,19103,16070,16070,16340,22296,18669,17166,13245,14213,14260,16251,10380,11907,11280,15772,16815,18779,16533,16024,16378,15989,15474,14443,14198,14059,17175,17024,16972
29,12181,8382,10981,11173,6129,12148,11536,11103,10996,10881,7036,13901,13528,16607,15215,13617,7406,9180,9478,11258,8859,9478,19241,19966,17072,16998,20114,14256,19885,0,3373,1540,148,2293,8330,13475,8824,9324,11903,8939,10372,7456,8435,16599,16382,15750,13943,14730,22846,16434,8507,5874,5780,9109,9382,9206,15958,10734,10874,11313,12709,15030,16948,14054,7472,13075,14501,11504,5757,3106,6922,22252,16358,18478,20800,4520,9492,7672,7856,16359,7456,7672,6498,4508,4458,4397,5936,5897,8589,7173,5536,6904,8468,9896,9731,7642,7813,8760,8760,9089,11143,10823,13879,11801,12248,12330,12650,12431,10514,15129,14661,15198,15351,19474,19474,20355,28033,22988,21485,20708,21246,21293,22050,21150,19609,16852,6122,5396,6978,4843,5187,4893,6010,6162,6513,7232,6468,4486,5198,5146
30,12642,8193,11240,10992,6388,11967,11748,11315,9552,10949,6059,12457,12084,15164,15427,12173,7866,9640,9690,9257,9320,9690,19453,19259,17532,17210,18670,14468,18441,3377,0,3138,3229,1781,7686,17380,4852,5671,11259,6350,7665,4694,5168,15155,14939,14306,14154,14942,23058,16646,8318,6085,6241,9569,9200,9913,16170,11194,10692,9869,10707,13587,16822,14266,7683,12893,14713,7054,3625,661,6278,22464,14914,18690,20094,4876,10198,8133,8115,16571,7916,8133,7698,5018,4967,4907,2864,3129,5516,4100,3818,3831,5396,5572,5935,5925,6095,8972,8972,7058,9141,8822,11624,9800,10246,10328,9989,9770,8101,12468,10729,12158,12311,16433,16434,17314,24555,19947,18444,18047,18585,18631,19010,18489,16948,14190,6381,5718,7439,3125,3470,3176,4292,4444,4795,4725,5491,2768,2126,2074
