STT,Tên CH,Demand,Time start,Time end,Vĩ độ (Latitude),Kinh độ (Longitude)
28,MC-327/37 Hà Huy Giáp,"79,526",14:30,15:00,10.881036,106.679236
29,MC-30/18 Quốc lộ 50,"103,996",11:00,11:30,10.731421,106.656247
30,BB-769 Phạm Thế Hiển,"148,168",11:00,11:30,10.744418,106.674449
31,BB-8 Tuy Lý Vương,"205,213",11:20,11:50,10.744472,106.655633
32,BB-421 Liên Tỉnh 5,"266,300",12:20,12:50,10.732448,106.656196
33,MC-318D Phạm Hùng,"124,907",12:40,13:10,10.739203,106.669705
34,MC-947 Lê Văn Lương,"75,870",13:00,13:30,10.70927,106.703155
35,MC-D15/40 Đinh Đức Thiện,"381,080",13:20,13:50,10.662105,106.574119
36,BB-189 Đường Số 17,"107,294",11:00,11:30,10.744876,106.710633
37,BB-138 Lâm Văn Bền,"106,987",11:00,11:30,10.743197,106.715791
38,BB-1568 Huỳnh Tấn Phát,"110,578",11:20,11:50,10.705116,106.737605
39,BB-213 Nguyễn Thị Thập,"143,093",12:00,12:30,10.738014,106.718888
40,MC-490 Huỳnh Tấn Phát,"121,060",13:00,13:30,10.742876,106.729625
41,MC-520 Nguyễn Thị Thập,"146,490",13:00,13:30,10.740127,106.703399
42,MC-91/1 Lâm Văn Bền,"81,862",13:00,13:30,10.747802,106.715989
43,BB-149 Đường số 8,"103,785",17:30,18:00,10.843982,106.661983
44,BB-603 Lê Đức Thọ,"92,010",17:50,18:20,10.847352,106.668973
45,MC-227 Thống Nhất,"78,810",18:10,18:40,10.837305,106.664935
46,MC-9 Phan Văn Hớn,"95,845",18:30,19:00,10.82722,106.624574
47,MC-14/1 Nguyễn Văn Quá,"71,433",18:50,19:20,10.83839,106.629494
48,MC-58/2A Quang Trung,"57,776",19:10,19:40,10.88796,106.60155
49,"MC-16 Phan Văn Hớn, Hóc Môn","93,660",19:30,20:00,10.838121,106.601626
50,MC-33 Thạch Lam,"110,292",18:30,19:00,10.776368,106.632231
51,MC-160A Nguyễn Thị Nhỏ,"74,930",18:50,19:20,10.774216,106.653229
52,MC-79 Lạc Long Quân,"59,554",19:10,19:40,10.758985,106.641595
53,MC-849 Tỉnh lộ 10,"129,780",19:30,20:00,10.758329,106.60828
54,MC-145 Lê Văn Quới,"103,043",19:50,20:20,10.775407,106.618769
55,MC-421 Hồ Học Lãm,"98,763",20:10,20:40,10.724385,106.609925
56,MC-192 Nguyễn Thị Tú,"104,334",20:30,21:00,10.815437,106.590151
57,MC-Go An Lạc,"97,877",20:50,21:20,10.731274,106.605987
58,MC-245 Tân Hương,"106,370",10:20,10:50,10.789967,106.622013
59,BB-135 Thích Quảng Đức,"155,046",12:00,12:30,10.805854,106.681404
60,BB-540 Lê Quang Định,"121,847",13:40,14:10,10.816443,106.688702
61,FRCH-458 Dương Quãng Hàm,"165,720",14:00,14:30,10.835458,106.684106
62,MC-319 Phạm Văn Chiêu,"137,400",14:20,14:50,10.850056,106.652346
63,MC-47B Phan Huy Ích,"109,700",14:40,15:10,10.832989,106.634251
64,MC-58 Bành Văn Trân,"90,417",11:30,12:00,10.788396,106.658984
65,BB-785 Tân Kỳ Tân Quý,"170,235",12:50,13:20,10.791486,106.605287
66,FRCH-353 Nguyễn Văn Quá,"75,240",14:50,15:20,10.836387,106.628945
67,FRCH-355 Huỳnh Tân Phát,"231,080",12:00,12:30,10.749884,106.728849
68,MC-52-64-56 Đường D1 (Hoàng Trọng Mậu),"113,025",14:00,14:30,10.7414,106.695878
69,MC-37 Tạ Quang Bửu,"138,595",11:40,12:10,10.741051,106.674185
70,FRCH-831/4 Lê Văn Lương,"251,215",13:20,13:50,10.719633,106.699114
71,BB-5/50 Quang Trung,"94,308",12:10,12:40,10.888494,106.596145
72,MC-742 Lê Đức Thọ,"106,755",12:50,13:20,10.847434,106.669322
73,BB-1 Nguyễn Ảnh Thủ,"89,720",13:10,13:40,10.864928,106.613603
74,MC-66 Nguyễn Ảnh Thủ,"196,850",13:50,14:20,10.877267,106.641187
76,MC-127 Hà Tôn Quyền,"70,150",11:50,12:20,10.757183,106.653335
77,FRCH-503 Hồ Học Lãm,"128,196",13:10,13:40,10.726738,106.608052
78,MC-269 Tân Hòa Đông,"73,920",14:50,15:20,10.759844,106.624657
79,FRCH-282A Hồng Lạc,"599,240",11:30,12:00,10.787743,106.645073
80,BB-441 Nguyễn Văn Khối,"165,810",16:00,16:30,10.844331,106.646837
81,"FRCH-10 Phan Anh, Bình Tân","182,430",12:10,12:40,10.760317,106.624601
82,FRCH-83 Tân Hòa Đông,"95,420",9:30,10:00,10.759844,106.624657
83,MC-165 Bình Phú,"123,830",9:45,10:15,10.744372,106.630465
84,BB-100A Hậu Giang,"211,730",10:15,10:45,10.749816,106.645902
85,BB-92B Hậu Giang,"54,160",10:30,11:00,10.749852,106.646368
86,MC-70 Hậu Giang,"102,310",10:45,11:15,10.749757,106.646918
87,MC-213E Nguyễn Văn Cừ,"100,000",11:00,11:30,10.760839,106.683651
88,BB-213 Nguyễn Văn Cừ,"122,560",11:15,11:45,10.761494,106.682873
89,MC-86 Nguyễn Huệ,"161,900",11:30,12:00,10.775347,106.702917
90,MC-55 Cô Bắc,"133,560",12:00,12:30,10.764918,106.695024
91,BB-2Bis Cách Mạng Tháng Tám,"118,930",12:30,13:00,10.76554503,106.6661068
92,BB-5 Nguyễn Khắc Nhu,"109,720",12:45,13:15,10.762463,106.693755
93,BB-67 Hồ Tùng Mậu,"131,430",13:30,14:00,10.77175,106.703875
94,BB-67 Tôn Đản,"139,570",13:45,14:15,10.760106,106.707272
95,MC-197 Tôn Đản,"160,550",14:00,14:30,10.75754,106.707019
96,FRCH-126A Nguyễn Phúc Nguyên,"77,500",9:30,10:00,10.780127,106.679967
97,MC-21 Rạch Bùng Binh,"102,920",9:45,10:15,10.780059,106.679251
98,MC-483 Lê Văn Sỹ,"297,940",10:30,11:00,10.799266,106.661418
99,BB-480A Lê Văn Sỹ,"126,910",10:45,11:15,10.799271,106.661419
100,MC-11 Trần Quốc Toản,"164,690",11:00,11:30,10.789376,106.6894
101,BB-6 Vạn Kiếp,"122,720",11:15,11:45,10.802397,106.693236
102,MC-45 Vạn Kiếp,"145,790",11:30,12:00,10.800889,106.693939
103,MC-198 Nguyễn Xí,"141,900",11:45,12:15,10.817019,106.706848
104,MC-123 Nơ Trang Long,"89,860",12:30,13:00,10.811139,106.695333
105,BB-151 Bùi Đình Túy,"105,380",12:45,13:15,10.807837,106.704477
106,MC-185 Bùi Đình Tuý,"61,500",13:30,14:00,10.808529,106.704487
107,BB-145/3B Nguyễn Gia Trí,"126,170",13:45,14:15,10.803241,106.715435
108,MC-479 Điện Biên Phủ,"102,980",14:30,15:00,10.801482,106.714788
109,MC-65 Ngô Tất Tố,"127,660",15:00,15:30,10.792923,106.711352
110,MC-27A Quốc Hương,"86,080",9:30,10:00,10.803439,106.731829
111,MC-38 Đường 3,"160,240",9:45,10:15,10.795042,106.735061
112,BB-104 Nguyễn Duy Trinh,"120,010",10:30,11:00,10.788034,106.758524
113,MC-161 Nguyễn Duy Trinh,"80,540",10:45,11:15,10.788037,106.759987
114,MC-334 Đỗ Xuân Hợp,"106,750",11:00,11:30,10.822915,106.770475
115,BB-301 Đỗ Xuân Hợp,"80,110",11:30,12:00,10.823057,106.770492
116,BB-135 Tăng Nhơn Phú,"76,610",11:45,12:15,10.830738,106.774724
117,MC-398 Nguyễn Văn Tăng,"75,200",12:30,13:00,10.84093,106.826375
118,BB-66 Man Thiện,"171,950",12:45,13:15,10.847519,106.787105
119,MC-73 Lê Văn Việt,"93,060",13:00,13:30,10.847426,106.776508
120,BB-8 Tô Vĩnh Diện,"106,070",13:15,13:45,10.850846,106.765648
121,BB-54i Hoàng Diệu 2,"90,900",13:30,14:00,10.858279,106.763059
122,MC-56 Hoàng Diệu 2,"96,090",13:45,14:15,10.857945,106.763316
123,BB-266 Hoàng Diệu 2,"77,370",14:00,14:30,10.853957,106.771917
124,FRCH-18 Phú Châu,"123,420",14:15,14:45,10.863477,106.745646
125,MC-12 Tô Ngọc Vân,"164,350",14:30,15:00,10.851445,106.754073
126,MC-66 Hiệp Bình,"106,760",15:00,15:30,10.84039,106.731935
127,FRCH-3C Hòa Bình,"80,220",9:30,10:00,10.766882,106.641519
128,BB-53 Đường số 5,"85,180",9:45,10:15,10.761398,106.648457
129,FRCH-D35 Cư Xá Phú Lâm B,"78,850",10:30,11:00,10.75258,106.628935
130,BB-245 Nguyễn Tri Phương,"147,670",10:45,11:15,10.761772,106.668601
131,MC-406 Nguyễn Tri Phương,"149,620",11:30,12:00,10.7648,106.667865
132,MC-250 Nguyễn Tri Phương,"74,130",11:45,12:15,10.761777,106.668643
133,FRCH-323bis 3/2,"131,360",12:00,12:30,10.769728,106.671168
134,MC-Vạn Hạnh Mall,"60,510",12:15,12:45,10.770663,106.669695
135,MC-117 Cao Thắng,"88,090",13:00,13:30,10.773064,106.678624
136,MC-214 Nguyễn Thượng Hiền,"150,690",13:15,13:45,10.77433,106.684009
137,MC- 177 Tô Hiến Thành,"127,220",13:30,14:00,10.780162,106.668622
138,MC-90 Bùi Hữu Nghĩa,"100,440",14:00,14:30,10.754344,106.674724
139,BB-171 Cao Đạt,"200,430",14:15,14:45,10.754336,106.683411
140,MC-139 Cao Đạt,"36,500",15:00,15:30,10.754511,106.68386
